dataset,sigma,seed,layer,dfe,performance,label
heloc,0.1,3.0,1.0,0.11757655441761017,0.7007594936708861,marginal
heloc,0.1,3.0,1.0,0.09035205096006393,0.7007594936708861,conditional
heloc,0.1,3.0,1.0,0.024699209103310506,0.7007594936708861,accumulated
heloc,0.1,4.0,3.0,0.05021234229207039,0.7281012658227848,marginal
heloc,0.1,4.0,3.0,0.038204699754714966,0.7281012658227848,conditional
heloc,0.1,4.0,3.0,0.0056627442673145,0.7281012658227848,accumulated
heloc,0.1,4.0,2.0,0.048371754586696625,0.7281012658227848,marginal
heloc,0.1,4.0,2.0,0.038885246962308884,0.7281012658227848,conditional
heloc,0.1,4.0,2.0,0.007840412356523213,0.7281012658227848,accumulated
heloc,0.1,4.0,1.0,0.2581380009651184,0.6263291139240507,marginal
heloc,0.1,4.0,1.0,0.21059191226959229,0.6263291139240507,conditional
heloc,0.1,4.0,1.0,0.044780353383186956,0.6263291139240507,accumulated
heloc,0.1,5.0,3.0,0.025740761309862137,0.7331645569620253,marginal
heloc,0.1,5.0,3.0,0.019468333572149277,0.7331645569620253,conditional
heloc,0.1,5.0,3.0,0.0031049632258154784,0.7331645569620253,accumulated
heloc,0.1,5.0,2.0,0.05196229740977287,0.7281012658227848,marginal
heloc,0.1,5.0,2.0,0.03932792693376541,0.7281012658227848,conditional
heloc,0.1,5.0,2.0,0.007331358251190115,0.7281012658227848,accumulated
heloc,0.1,5.0,1.0,0.24826957285404205,0.6187341772151899,marginal
heloc,0.1,5.0,1.0,0.19757221639156342,0.6187341772151899,conditional
heloc,0.1,5.0,1.0,0.03595193320258189,0.6187341772151899,accumulated
heloc,0.1,6.0,3.0,0.0009885983308777213,0.7377215189873417,marginal
heloc,0.1,6.0,3.0,0.000964963051956147,0.7377215189873417,conditional
heloc,0.1,6.0,3.0,0.0007353253708935446,0.7377215189873417,accumulated
heloc,0.1,6.0,2.0,0.004907651804387569,0.7387341772151899,marginal
heloc,0.1,6.0,2.0,0.005205666646361351,0.7387341772151899,conditional
heloc,0.1,6.0,2.0,0.0031954598228579323,0.7387341772151899,accumulated
heloc,0.1,6.0,1.0,0.030798960477113724,0.7311392405063292,marginal
heloc,0.1,6.0,1.0,0.03274162858724594,0.7311392405063292,conditional
heloc,0.1,6.0,1.0,0.0159726341054869,0.7311392405063292,accumulated
heloc,0.1,7.0,3.0,0.008813871070742607,0.7362025316455696,marginal
heloc,0.1,7.0,3.0,0.006292428821325302,0.7362025316455696,conditional
heloc,0.1,7.0,3.0,0.0010580502434411154,0.7362025316455696,accumulated
heloc,0.1,7.0,2.0,0.012692607939243317,0.7382278481012658,marginal
heloc,0.1,7.0,2.0,0.010258393362164497,0.7382278481012658,conditional
heloc,0.1,7.0,2.0,0.003835807528142507,0.7382278481012658,accumulated
heloc,0.1,7.0,1.0,0.09453556686639786,0.7129113924050633,marginal
heloc,0.1,7.0,1.0,0.07106072455644608,0.7129113924050633,conditional
heloc,0.1,7.0,1.0,0.026310178122567147,0.7129113924050633,accumulated
heloc,0.1,8.0,3.0,0.029717089608311653,0.730632911392405,marginal
heloc,0.1,8.0,3.0,0.022495727986097336,0.730632911392405,conditional
heloc,0.1,8.0,3.0,0.003707550739072148,0.730632911392405,accumulated
heloc,0.1,8.0,2.0,0.06725636124610901,0.7270886075949367,marginal
heloc,0.1,8.0,2.0,0.05134347081184387,0.7270886075949367,conditional
heloc,0.1,8.0,2.0,0.008550697305414268,0.7270886075949367,accumulated
heloc,0.1,8.0,1.0,0.15410776436328888,0.6815189873417722,marginal
heloc,0.1,8.0,1.0,0.12389003485441208,0.6815189873417722,conditional
heloc,0.1,8.0,1.0,0.02749719644504642,0.6815189873417722,accumulated
heloc,0.1,9.0,3.0,0.0074689569883048534,0.7362025316455696,marginal
heloc,0.1,9.0,3.0,0.005339674185961485,0.7362025316455696,conditional
heloc,0.1,9.0,3.0,0.0010153383210482517,0.7362025316455696,accumulated
heloc,0.1,9.0,2.0,0.008305767551064491,0.7367088607594937,marginal
heloc,0.1,9.0,2.0,0.006232445128262043,0.7367088607594937,conditional
heloc,0.1,9.0,2.0,0.0019043546883792226,0.7367088607594937,accumulated
heloc,0.1,9.0,1.0,0.08766323328018188,0.7174683544303797,marginal
heloc,0.1,9.0,1.0,0.0720834955573082,0.7174683544303797,conditional
heloc,0.1,9.0,1.0,0.023324953471873196,0.7174683544303797,accumulated
heloc,0.1,10.0,3.0,0.011155168525874615,0.7377215189873417,marginal
heloc,0.1,10.0,3.0,0.00847772415727377,0.7377215189873417,conditional
heloc,0.1,10.0,3.0,0.001693612902460557,0.7377215189873417,accumulated
heloc,0.1,10.0,2.0,0.03476090729236603,0.7351898734177216,marginal
heloc,0.1,10.0,2.0,0.026458844542503357,0.7351898734177216,conditional
heloc,0.1,10.0,2.0,0.006060450314962179,0.7351898734177216,accumulated
heloc,0.1,10.0,1.0,0.1826961189508438,0.6637974683544304,marginal
heloc,0.1,10.0,1.0,0.14836667478084564,0.6637974683544304,conditional
heloc,0.1,10.0,1.0,0.03424484645222831,0.6637974683544304,accumulated
heloc,0.1,11.0,3.0,0.031347133219242096,0.730126582278481,marginal
heloc,0.1,11.0,3.0,0.02364763803780079,0.730126582278481,conditional
heloc,0.1,11.0,3.0,0.0036191763238936315,0.730126582278481,accumulated
heloc,0.1,11.0,2.0,0.0020906138233840466,0.7387341772151899,marginal
heloc,0.1,11.0,2.0,0.0033879501279443502,0.7387341772151899,conditional
heloc,0.1,11.0,2.0,0.001919023281323541,0.7387341772151899,accumulated
heloc,0.1,11.0,1.0,0.08207825571298599,0.7179746835443038,marginal
heloc,0.1,11.0,1.0,0.06652610003948212,0.7179746835443038,conditional
heloc,0.1,11.0,1.0,0.01618366557725752,0.7179746835443038,accumulated
heloc,0.1,12.0,3.0,0.03445005044341087,0.7346835443037975,marginal
heloc,0.1,12.0,3.0,0.02676147036254406,0.7346835443037975,conditional
heloc,0.1,12.0,3.0,0.004902134920887894,0.7346835443037975,accumulated
heloc,0.1,12.0,2.0,0.054892648011446,0.7316455696202532,marginal
heloc,0.1,12.0,2.0,0.04258783906698227,0.7316455696202532,conditional
heloc,0.1,12.0,2.0,0.009041566808173149,0.7316455696202532,accumulated
heloc,0.1,12.0,1.0,0.14350678026676178,0.6921518987341773,marginal
heloc,0.1,12.0,1.0,0.11105209589004517,0.6921518987341773,conditional
heloc,0.1,12.0,1.0,0.02107587136703752,0.6921518987341773,accumulated
heloc,0.1,13.0,3.0,0.03709658235311508,0.7275949367088608,marginal
heloc,0.1,13.0,3.0,0.027920039370656013,0.7275949367088608,conditional
heloc,0.1,13.0,3.0,0.004185843499731761,0.7275949367088608,accumulated
heloc,0.1,13.0,2.0,0.026705093681812286,0.7336708860759493,marginal
heloc,0.1,13.0,2.0,0.020464792847633362,0.7336708860759493,conditional
heloc,0.1,13.0,2.0,0.004341539068131433,0.7336708860759493,accumulated
heloc,0.1,13.0,1.0,0.06825359165668488,0.7215189873417721,marginal
heloc,0.1,13.0,1.0,0.054683808237314224,0.7215189873417721,conditional
heloc,0.1,13.0,1.0,0.014824078170361884,0.7215189873417721,accumulated
heloc,0.1,14.0,3.0,0.03976070508360863,0.7351898734177216,marginal
heloc,0.1,14.0,3.0,0.03020249493420124,0.7351898734177216,conditional
heloc,0.1,14.0,3.0,0.005116680190253043,0.7351898734177216,accumulated
heloc,0.1,14.0,2.0,0.025757893919944763,0.7382278481012658,marginal
heloc,0.1,14.0,2.0,0.020700369030237198,0.7382278481012658,conditional
heloc,0.1,14.0,2.0,0.004857692680248615,0.7382278481012658,accumulated
heloc,0.1,14.0,1.0,0.29535984992980957,0.5843037974683545,marginal
heloc,0.1,14.0,1.0,0.24302545189857483,0.5843037974683545,conditional
heloc,0.1,14.0,1.0,0.04741228489448813,0.5843037974683545,accumulated
heloc,0.1,15.0,3.0,0.052117202430963516,0.7326582278481013,marginal
heloc,0.1,15.0,3.0,0.04195251315832138,0.7326582278481013,conditional
heloc,0.1,15.0,3.0,0.007565288227171732,0.7326582278481013,accumulated
heloc,0.1,15.0,2.0,0.051013220101594925,0.7311392405063292,marginal
heloc,0.1,15.0,2.0,0.04089564457535744,0.7311392405063292,conditional
heloc,0.1,15.0,2.0,0.0074477732727300325,0.7311392405063292,accumulated
heloc,0.1,15.0,1.0,0.22354307770729065,0.6440506329113924,marginal
heloc,0.1,15.0,1.0,0.18175755441188812,0.6440506329113924,conditional
heloc,0.1,15.0,1.0,0.0322556204029436,0.6440506329113924,accumulated
