s,xs,dtv,dfe,label
most important,q_0.2,0.5814332247557004,0.07325489819049835,random:marginal
most important,q_0.2,0.6144578313253012,0.07747267931699753,random:conditional
most important,q_0.2,0.6205211726384365,1.240229024366758,theoretical:marginal
most important,q_0.2,0.6024096385542169,1.2040296950972225,theoretical:conditional
most important,q_0.2,0.6205211726384365,0.0824095606803894,random:marginal
most important,q_0.2,0.6024096385542169,0.09398359805345535,random:conditional
most important,q_0.2,0.6351791530944626,1.2695257729738467,theoretical:marginal
most important,q_0.2,0.6144578313253012,1.2281102889991669,theoretical:conditional
most important,q_0.2,0.6351791530944626,0.09576781094074249,random:marginal
most important,q_0.2,0.6144578313253012,0.10150230675935745,random:conditional
most important,q_0.2,0.7019543973941369,1.4029887388505844,theoretical:marginal
most important,q_0.2,0.6265060240963856,1.2521908829011112,theoretical:conditional
most important,q_0.2,0.7019543973941369,0.10180586576461792,random:marginal
most important,q_0.2,0.6265060240963856,0.12004568427801132,random:conditional
most important,q_0.2,0.6384364820846906,1.2760361615531997,theoretical:marginal
most important,q_0.2,0.6385542168674698,1.2762714768030556,theoretical:conditional
most important,q_0.2,0.6384364820846906,0.10677272081375122,random:marginal
most important,q_0.2,0.6385542168674698,0.11642561107873917,random:conditional
most important,q_0.2,0.7394136807817591,1.4778582075131446,theoretical:marginal
most important,q_0.2,0.6144578313253012,1.2281102889991669,theoretical:conditional
most important,q_0.2,0.7394136807817591,0.10856036841869354,random:marginal
most important,q_0.2,0.6144578313253012,0.12310966104269028,random:conditional
most important,q_0.2,0.7573289902280131,1.5136653446995865,theoretical:marginal
most important,q_0.2,0.6265060240963856,1.2521908829011112,theoretical:conditional
most important,q_0.2,0.7573289902280131,0.11534996330738068,random:marginal
most important,q_0.2,0.6265060240963856,0.13278549909591675,random:conditional
most important,q_0.2,0.757328990228013,1.5136653446995862,theoretical:marginal
most important,q_0.2,0.6746987951807228,1.348513258508889,theoretical:conditional
most important,q_0.2,0.757328990228013,0.12086211144924164,random:marginal
most important,q_0.2,0.6746987951807228,0.13916096091270447,random:conditional
most important,q_0.2,0.7687296416938112,1.5364517047273223,theoretical:marginal
most important,q_0.2,0.6506024096385543,1.3003520707050005,theoretical:conditional
most important,q_0.2,0.7687296416938112,0.13176493346691132,random:marginal
most important,q_0.2,0.6506024096385543,0.16485819220542908,random:conditional
most important,q_0.2,0.762214983713355,1.5234309275686158,theoretical:marginal
most important,q_0.2,0.6506024096385541,1.300352070705,theoretical:conditional
most important,q_0.2,0.762214983713355,0.1360609531402588,random:marginal
most important,q_0.2,0.6506024096385541,0.1533142626285553,random:conditional
most important,q_0.2,0.7817589576547231,1.5624932590447342,theoretical:marginal
most important,q_0.2,0.6566265060240964,1.3123923676559726,theoretical:conditional
most important,q_0.2,0.7817589576547231,0.13098400831222534,random:marginal
most important,q_0.2,0.6566265060240964,0.15637731552124023,random:conditional
most important,q_0.2,0.7801302931596092,1.5592380647550579,theoretical:marginal
most important,q_0.2,0.6566265060240963,1.3123923676559723,theoretical:conditional
most important,q_0.2,0.7801302931596092,0.13969206809997559,random:marginal
most important,q_0.2,0.6566265060240963,0.16270676255226135,random:conditional
most important,q_0.2,0.11237785016286646,0.022528856992721558,adversarial:marginal
most important,q_0.2,0.16265060240963852,0.03864628076553345,adversarial:conditional
most important,q_0.2,0.1221498371335505,0.024012088775634766,adversarial:marginal
most important,q_0.2,0.1927710843373494,0.0403420627117157,adversarial:conditional
most important,q_0.2,0.12377850162866448,0.023329146206378937,adversarial:marginal
most important,q_0.2,0.1325301204819277,0.04079905152320862,adversarial:conditional
most important,q_0.2,0.12703583061889254,0.02334532141685486,adversarial:marginal
most important,q_0.2,0.14457831325301201,0.0402069166302681,adversarial:conditional
most important,q_0.2,0.10912052117263846,0.0226411372423172,adversarial:marginal
