dataset,seed,layer,dfe,label
heloc,17.0,2.0,0.03564691171050072,conditional
heloc,17.0,2.0,0.029291668308195847,accumulated
heloc,17.0,1.0,0.14538148045539856,marginal
heloc,17.0,1.0,0.10494300723075867,conditional
heloc,17.0,1.0,0.06443897993470667,accumulated
heloc,18.0,3.0,0.07368148863315582,marginal
heloc,18.0,3.0,0.06958432495594025,conditional
heloc,18.0,3.0,0.014841990800017954,accumulated
heloc,18.0,2.0,0.150480255484581,marginal
heloc,18.0,2.0,0.13307800889015198,conditional
heloc,18.0,2.0,0.04515100303435244,accumulated
heloc,18.0,1.0,0.37295106053352356,marginal
heloc,18.0,1.0,0.33032798767089844,conditional
heloc,18.0,1.0,0.07411169607425397,accumulated
heloc,19.0,3.0,0.02952604740858078,marginal
heloc,19.0,3.0,0.024886012077331543,conditional
heloc,19.0,3.0,0.0058891513900249295,accumulated
heloc,19.0,2.0,0.3852345943450928,marginal
heloc,19.0,2.0,0.33694884181022644,conditional
heloc,19.0,2.0,0.07934511738435282,accumulated
heloc,19.0,1.0,0.39089682698249817,marginal
heloc,19.0,1.0,0.3408918082714081,conditional
heloc,19.0,1.0,0.07945870079298452,accumulated
gaussian,0.0,3.0,0.013226525858044624,marginal
gaussian,0.0,3.0,0.01210142020136118,conditional
gaussian,0.0,3.0,0.016523077995362276,accumulated
gaussian,0.0,2.0,0.10580737888813019,marginal
gaussian,0.0,2.0,0.11266793310642242,conditional
gaussian,0.0,2.0,0.05628474792714577,accumulated
gaussian,0.0,1.0,0.17930814623832703,marginal
gaussian,0.0,1.0,0.21012218296527863,conditional
gaussian,0.0,1.0,0.1997711150105679,accumulated
gaussian,1.0,3.0,0.006702464073896408,marginal
gaussian,1.0,3.0,0.006466168910264969,conditional
gaussian,1.0,3.0,0.008405596584151149,accumulated
gaussian,1.0,2.0,0.0894673690199852,marginal
gaussian,1.0,2.0,0.09130840003490448,conditional
gaussian,1.0,2.0,0.06574977499275886,accumulated
gaussian,1.0,1.0,0.2589760422706604,marginal
gaussian,1.0,1.0,0.29524749517440796,conditional
gaussian,1.0,1.0,0.1852506514850871,accumulated
gaussian,2.0,3.0,0.008962712250649929,marginal
gaussian,2.0,3.0,0.008558339439332485,conditional
gaussian,2.0,3.0,0.011065130430380918,accumulated
gaussian,2.0,2.0,0.08542537689208984,marginal
gaussian,2.0,2.0,0.08460969477891922,conditional
gaussian,2.0,2.0,0.06328792182809974,accumulated
gaussian,2.0,1.0,0.5151626467704773,marginal
gaussian,2.0,1.0,0.5074777603149414,conditional
gaussian,2.0,1.0,0.12772896831178296,accumulated
gaussian,3.0,3.0,0.021841157227754593,marginal
gaussian,3.0,3.0,0.020352397114038467,conditional
gaussian,3.0,3.0,0.024177349935332014,accumulated
gaussian,3.0,2.0,0.2247847616672516,marginal
gaussian,3.0,2.0,0.22300882637500763,conditional
gaussian,3.0,2.0,0.09757382317124269,accumulated
gaussian,3.0,1.0,0.47961679100990295,marginal
gaussian,3.0,1.0,0.48475855588912964,conditional
gaussian,3.0,1.0,0.12842072748919442,accumulated
gaussian,4.0,3.0,0.005418136715888977,marginal
gaussian,4.0,3.0,0.005573940463364124,conditional
gaussian,4.0,3.0,0.009537469747708669,accumulated
gaussian,4.0,2.0,0.04889831691980362,marginal
gaussian,4.0,2.0,0.05818495154380798,conditional
gaussian,4.0,2.0,0.05724778768732606,accumulated
gaussian,4.0,1.0,0.20468387007713318,marginal
gaussian,4.0,1.0,0.23536553978919983,conditional
gaussian,4.0,1.0,0.1676724471585478,accumulated
gaussian,5.0,3.0,0.006325471214950085,marginal
gaussian,5.0,3.0,0.005897062364965677,conditional
gaussian,5.0,3.0,0.007391767152058361,accumulated
gaussian,5.0,2.0,0.26890674233436584,marginal
gaussian,5.0,2.0,0.2728211283683777,conditional
gaussian,5.0,2.0,0.09996852463898713,accumulated
gaussian,5.0,1.0,0.47961679100990295,marginal
gaussian,5.0,1.0,0.48475855588912964,conditional
gaussian,5.0,1.0,0.12842072748919442,accumulated
gaussian,6.0,3.0,0.007540162652730942,marginal
gaussian,6.0,3.0,0.0071400986053049564,conditional
gaussian,6.0,3.0,0.0094574858951394,accumulated
gaussian,6.0,2.0,0.1266436129808426,marginal
gaussian,6.0,2.0,0.12999427318572998,conditional
gaussian,6.0,2.0,0.08185492922801933,accumulated
gaussian,6.0,1.0,0.47961679100990295,marginal
gaussian,6.0,1.0,0.48475855588912964,conditional
gaussian,6.0,1.0,0.12842072748919442,accumulated
gaussian,7.0,3.0,0.00783460307866335,marginal
gaussian,7.0,3.0,0.007483207620680332,conditional
gaussian,7.0,3.0,0.010247706132818295,accumulated
gaussian,7.0,2.0,0.14458505809307098,marginal
gaussian,7.0,2.0,0.14492952823638916,conditional
gaussian,7.0,2.0,0.06172747560786931,accumulated
gaussian,7.0,1.0,0.3281612694263458,marginal
gaussian,7.0,1.0,0.35113781690597534,conditional
gaussian,7.0,1.0,0.1947570866150641,accumulated
gaussian,8.0,3.0,0.0010605193674564362,marginal
gaussian,8.0,3.0,0.0013143104733899236,conditional
gaussian,8.0,3.0,0.004598778044033753,accumulated
gaussian,8.0,2.0,0.06266600638628006,marginal
gaussian,8.0,2.0,0.06616543233394623,conditional
gaussian,8.0,2.0,0.0630976076291738,accumulated
gaussian,8.0,1.0,0.30471646785736084,marginal
gaussian,8.0,1.0,0.3491460680961609,conditional
gaussian,8.0,1.0,0.17290728628128121,accumulated
gaussian,9.0,3.0,0.030232179909944534,marginal
gaussian,9.0,3.0,0.028248917311429977,conditional
gaussian,9.0,3.0,0.03698619158112261,accumulated
gaussian,9.0,2.0,0.21351301670074463,marginal
gaussian,9.0,2.0,0.21769404411315918,conditional
gaussian,9.0,2.0,0.0914887769714921,accumulated
gaussian,9.0,1.0,0.34681636095046997,marginal
gaussian,9.0,1.0,0.3586268723011017,conditional
gaussian,9.0,1.0,0.16874851058034052,accumulated
gaussian,10.0,3.0,0.00988185964524746,marginal
gaussian,10.0,3.0,0.009950277395546436,conditional
gaussian,10.0,3.0,0.018057251940232447,accumulated
gaussian,10.0,2.0,0.05231047421693802,marginal
