s,xs,dtv,dfe,label
most important,q_0.2,0.6558219178082192,0.0537494421005249,adversarial:conditional
most important,q_0.2,0.22835443037974684,0.03835594654083252,adversarial:marginal
most important,q_0.2,0.6438356164383562,0.05266463756561279,adversarial:conditional
most important,q_0.2,0.4035443037974685,0.08127054572105408,adversarial:marginal
most important,q_0.2,0.6284246575342466,0.1144910454750061,adversarial:conditional
most important,q_0.2,0.40658227848101264,0.0807151198387146,adversarial:marginal
most important,q_0.2,0.6421232876712328,0.11377584934234619,adversarial:conditional
most important,q_0.2,0.42784810126582284,0.07979527115821838,adversarial:marginal
most important,q_0.2,0.6626712328767123,0.11532986164093018,adversarial:conditional
most important,q_0.2,0.4035443037974684,0.08149871230125427,adversarial:marginal
most important,q_0.2,0.6575342465753424,0.11680126190185547,adversarial:conditional
most important,q_0.2,0.40860759493670895,0.08219349384307861,adversarial:marginal
most important,q_0.2,0.6215753424657533,0.11398684978485107,adversarial:conditional
most important,q_0.2,0.509367088607595,0.14591437578201294,adversarial:marginal
most important,q_0.2,0.625,0.19896382093429565,adversarial:conditional
most important,q_0.2,0.5164556962025316,0.1475338339805603,adversarial:marginal
most important,q_0.2,0.6386986301369862,0.19877737760543823,adversarial:conditional
most important,q_0.2,0.4941772151898735,0.14594760537147522,adversarial:marginal
most important,q_0.2,0.75,0.20914298295974731,adversarial:conditional
most important,q_0.2,0.5189873417721519,0.14805173873901367,adversarial:marginal
most important,q_0.2,0.6712328767123288,0.20407718420028687,adversarial:conditional
most important,q_0.2,0.5103797468354431,0.14917346835136414,adversarial:marginal
most important,q_0.2,0.708904109589041,0.20177197456359863,adversarial:conditional
most important,q_0.2,0.7149367088607596,0.32806771993637085,adversarial:marginal
most important,q_0.2,0.8613013698630136,0.4734974205493927,adversarial:conditional
most important,q_0.2,0.7169620253164558,0.3371182084083557,adversarial:marginal
most important,q_0.2,0.8527397260273972,0.48529326915740967,adversarial:conditional
most important,q_0.2,0.7240506329113925,0.33643123507499695,adversarial:marginal
most important,q_0.2,0.8202054794520548,0.4774464964866638,adversarial:conditional
most important,q_0.2,0.7144303797468354,0.3317694664001465,adversarial:marginal
most important,q_0.2,0.8749999999999999,0.4941030740737915,adversarial:conditional
most important,q_0.2,0.7321518987341773,0.33772504329681396,adversarial:marginal
most important,q_0.2,0.8476027397260275,0.46440741419792175,adversarial:conditional
most important,q_0.2,0.7848101265822787,0.40552079677581787,adversarial:marginal
most important,q_0.2,0.8921232876712331,0.5927429795265198,adversarial:conditional
most important,q_0.2,0.7772151898734176,0.4002871513366699,adversarial:marginal
most important,q_0.2,0.8921232876712328,0.5770509243011475,adversarial:conditional
most important,q_0.2,0.7797468354430381,0.4058631956577301,adversarial:marginal
most important,q_0.2,0.9212328767123288,0.5908423662185669,adversarial:conditional
most important,q_0.2,0.7782278481012659,0.4033859372138977,adversarial:marginal
most important,q_0.2,0.8869863013698629,0.575583279132843,adversarial:conditional
most important,q_0.2,0.7797468354430379,0.40600770711898804,adversarial:marginal
most important,q_0.2,0.9092465753424658,0.5837051868438721,adversarial:conditional
most important,q_0.5,0.10025316455696201,0.20046324536770202,theoretical:marginal
most important,q_0.5,0.26760563380281693,0.535096264221299,theoretical:conditional
most important,q_0.5,0.10025316455696201,0.00013971328735351562,random:marginal
most important,q_0.5,0.26760563380281693,0.00033730268478393555,random:conditional
most important,q_0.5,0.12303797468354431,0.24602307386036162,theoretical:marginal
most important,q_0.5,0.2676056338028169,0.5350962642212989,theoretical:conditional
most important,q_0.5,0.12303797468354431,8.866190910339355e-05,random:marginal
most important,q_0.5,0.2676056338028169,2.709031105041504e-05,random:conditional
most important,q_0.5,0.13670886075949368,0.27335897095595735,theoretical:marginal
most important,q_0.5,0.2852112676056338,0.5702999658148054,theoretical:conditional
most important,q_0.5,0.13670886075949368,0.00039640069007873535,random:marginal
most important,q_0.5,0.2852112676056338,0.001082390546798706,random:conditional
most important,q_0.5,0.15594936708860757,0.31183171501642537,theoretical:marginal
most important,q_0.5,0.17253521126760568,0.3449962756163638,theoretical:conditional
most important,q_0.5,0.15594936708860757,0.0007210671901702881,random:marginal
most important,q_0.5,0.17253521126760568,0.002077072858810425,random:conditional
most important,q_0.5,0.2617721518987342,0.5234318073489999,theoretical:marginal
most important,q_0.5,0.19718309859154928,0.3942814578472728,theoretical:conditional
most important,q_0.5,0.2617721518987342,0.0004303157329559326,random:marginal
most important,q_0.5,0.19718309859154928,0.00031134486198425293,random:conditional
most important,q_0.5,0.46126582278481015,0.9223334168180636,theoretical:marginal
most important,q_0.5,0.20422535211267606,0.4083629384846755,theoretical:conditional
most important,q_0.5,0.46126582278481015,0.000448375940322876,random:marginal
most important,q_0.5,0.20422535211267606,0.0019232332706451416,random:conditional
most important,q_0.5,0.47493670886075956,0.9496693139136594,theoretical:marginal
most important,q_0.5,0.6056338028169015,1.211007334816624,theoretical:conditional
most important,q_0.5,0.47493670886075956,0.0013203322887420654,random:marginal
most important,q_0.5,0.6056338028169015,0.001435399055480957,random:conditional
most important,q_0.5,0.5508860759493671,1.101535408889191,theoretical:marginal
most important,q_0.5,0.5845070422535212,1.1687628929044163,theoretical:conditional
most important,q_0.5,0.5508860759493671,0.0008805990219116211,random:marginal
most important,q_0.5,0.5845070422535212,0.01114615797996521,random:conditional
most important,q_0.5,0.49620253164556966,0.9921918205068082,theoretical:marginal
most important,q_0.5,0.5316901408450705,1.0631517881238965,theoretical:conditional
most important,q_0.5,0.49620253164556966,0.0018749535083770752,random:marginal
most important,q_0.5,0.5316901408450705,0.016537517309188843,random:conditional
most important,q_0.5,0.5362025316455696,1.072174630527255,theoretical:marginal
most important,q_0.5,0.48591549295774644,0.9716221639807794,theoretical:conditional
most important,q_0.5,0.5362025316455696,0.000397413969039917,random:marginal
most important,q_0.5,0.48591549295774644,0.006535381078720093,random:conditional
most important,q_0.5,0.6339240506329115,1.267575672729106,theoretical:marginal
most important,q_0.5,0.7535211267605634,1.5067184282020785,theoretical:conditional
most important,q_0.5,0.6339240506329115,0.0008649826049804688,random:marginal
most important,q_0.5,0.7535211267605634,0.014643490314483643,random:conditional
most important,q_0.5,0.7174683544303797,1.4346283772021908,theoretical:marginal
most important,q_0.5,0.7359154929577465,1.471514726608572,theoretical:conditional
most important,q_0.5,0.7174683544303797,0.0033446550369262695,random:marginal
most important,q_0.5,0.7359154929577465,0.016627997159957886,random:conditional
most important,q_0.5,0.7944303797468353,1.588519353444063,theoretical:marginal
most important,q_0.5,0.7253521126760564,1.450392505652468,theoretical:conditional
